trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.01, 'e': 0.4149999999999995}",20,0,-77.35990661279332,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.4099999999999995}",20,0,8.184375620613963,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.40499999999999947}",25,5,-19.13217588190732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.39999999999999947}",20,5,-82.050117297874,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.39499999999999946}",20,9,-45.737838121838415,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.38999999999999946}",20,13,9.630610887487528,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.38499999999999945}",20,9,-14.695642094994053,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.37999999999999945}",20,2,17.340041732464606,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.37499999999999944}",25,8,-67.02541135326466,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.01, 'e': 0.36999999999999944}",25,0,-48.43806658019011,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.36499999999999944}",30,15,12.551917127721499,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.35999999999999943}",20,0,-72.94983399721866,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.3549999999999994}",20,6,15.617116567724722,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.3499999999999994}",25,0,-35.78490486795737,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.01, 'e': 0.3449999999999994}",25,14,21.464889500038005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.3399999999999994}",20,6,10.545216753824446,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.3349999999999994}",25,14,-14.46789314568721,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.3299999999999994}",20,10,-37.061561739494636,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.3249999999999994}",20,14,9.881309288953494,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.3199999999999994}",20,0,-9.667053470841136,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.3149999999999994}",25,0,-19.28607994062274,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.3099999999999994}",30,14,-3.1887651357771016,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.3049999999999994}",25,14,14.187515192337118,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.2999999999999994}",25,8,-15.586972909251433,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2949999999999994}",25,10,-53.26157776013925,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
142,False,"{'a': 0.01, 'e': 0.28999999999999937}",30,2,-21.821133224007593,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.28499999999999936}",20,10,7.240898873175409,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.27999999999999936}",35,20,-4.954757391271307,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.27499999999999936}",20,0,-20.253900173717316,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.26999999999999935}",20,13,12.683131934221574,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.26499999999999935}",35,0,21.06632385286986,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.25999999999999934}",30,13,32.819863959003705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.25499999999999934}",30,12,11.752244183238371,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.24999999999999933}",35,26,-8.521366098491622,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.24499999999999933}",25,10,18.361373983749964,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.23999999999999932}",20,0,-32.37490767971531,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.23499999999999932}",25,0,-69.88318358379004,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
154,False,"{'a': 0.01, 'e': 0.22999999999999932}",20,0,-6.185024139115754,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.2249999999999993}",25,0,-74.77824430091833,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
156,False,"{'a': 0.01, 'e': 0.2199999999999993}",20,0,25.37351840600026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.2149999999999993}",20,0,-15.52346045499886,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.2099999999999993}",20,4,14.344616498556597,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.2049999999999993}",20,12,15.187916517522043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.1999999999999993}",25,19,10.239635410483444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.19499999999999929}",30,17,21.78605715229563,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.18999999999999928}",25,20,9.222400788893541,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.18499999999999928}",20,9,17.237251057761455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.17999999999999927}",20,10,20.335526845520832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.17499999999999927}",25,11,24.52811800348627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.16999999999999926}",25,5,33.89180235979143,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.16499999999999926}",25,2,22.106635060133584,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.15999999999999925}",20,15,-29.88068201574111,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.01, 'e': 0.15499999999999925}",20,5,-5.581644316719874,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.14999999999999925}",25,14,11.560352716548316,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
